
2018-05-29 17:42:27	    2238.000k/s 
2018-05-29 17:42:38	    2414.000k/s 
2018-05-29 17:42:49	    2510.000k/s 
2018-05-29 17:43:00	    2236.000k/s 
2018-05-29 17:43:11	    2539.000k/s 
2018-05-29 17:43:22	    2367.000k/s 
2018-05-29 17:43:33	    2422.000k/s 
2018-05-29 17:43:44	    2428.000k/s 
2018-05-29 17:43:55	    2383.000k/s 
2018-05-29 17:44:06	    2448.000k/s 
2018-05-29 17:44:17	    2488.000k/s 
2018-05-29 17:44:28	    2335.000k/s 
2018-05-29 17:44:29	    2405.593k/s     132.246s Download Finished
2018-05-29 17:44:49	    2193.000k/s 
2018-05-29 17:45:00	    2290.000k/s 
2018-05-29 17:45:11	    2504.000k/s 
2018-05-29 17:45:22	    2340.000k/s 
2018-05-29 17:45:33	    2459.000k/s 
2018-05-29 17:45:44	    2236.000k/s 
2018-05-29 17:45:55	    1766.000k/s 
2018-05-29 17:46:06	     854.000k/s 
2018-05-29 17:46:17	    1580.000k/s 
2018-05-29 17:46:28	    1528.000k/s 
2018-05-29 17:46:39	     672.000k/s 
2018-05-29 17:46:50	     669.000k/s 
2018-05-29 17:47:01	    2049.000k/s 
2018-05-29 17:47:12	    2296.000k/s 
2018-05-29 17:47:23	    1685.000k/s 
2018-05-29 17:47:32	    1837.310k/s     173.149s Download Finished
2018-05-29 17:47:52	    2105.000k/s 
2018-05-29 17:48:03	    2387.000k/s 
2018-05-29 17:48:14	    2404.000k/s 
2018-05-29 17:48:25	    2457.000k/s 
2018-05-29 17:48:36	    2465.000k/s 
2018-05-29 17:48:47	    2382.000k/s 
2018-05-29 17:48:58	    2419.000k/s 
2018-05-29 17:49:09	    2270.000k/s 
2018-05-29 17:49:20	    2339.000k/s 
2018-05-29 17:49:31	    2407.000k/s 
2018-05-29 17:49:42	    2432.000k/s 
2018-05-29 17:49:53	    2430.000k/s 
2018-05-29 17:49:55	    2387.056k/s     133.273s Download Finished
2018-05-29 17:50:15	    2056.000k/s 
2018-05-29 17:50:26	    2354.000k/s 
2018-05-29 17:50:37	    2430.000k/s 
2018-05-29 17:50:48	    2480.000k/s 
2018-05-29 17:50:59	    2474.000k/s 
2018-05-29 17:51:10	    2461.000k/s 
2018-05-29 17:51:21	    2311.000k/s 
2018-05-29 17:51:32	    2458.000k/s 
2018-05-29 17:51:43	    2479.000k/s 
2018-05-29 17:51:54	    2436.000k/s 
2018-05-29 17:52:05	    2420.000k/s 
